x,y,z
-0.563,-8.854,85.888
-0.574,-9.643,87.656
-0.484,-10.676,88.747
-0.474,-11.492,89.372
-0.442,-12.277,88.877
-0.436,-12.342,88.266
0.003,-13.266,87.51
0.041,-13.295,87.135
0.817,-13.148,86.084
1.325,-12.759,85.094
1.866,-12.38,84.153
2.107,-11.841,83.49
2.116,-11.136,82.857
2.163,-10.451,82.346
2.093,-9.811,82.002
1.758,-8.895,81.796
1.294,-8.47,81.708
0.3,-8.279,81.504
-1.067,-8.492,81.377
-2.909,-8.858,81.638
-4.742,-9.289,81.922
-5.893,-9.692,82.266
-6.777,-10.404,82.622
-7.442,-11.142,82.931
-7.478,-11.846,83.224
-8.157,-13.018,83.345
-8.449,-14.734,83.576
-8.663,-16.384,83.503
-8.705,-17.542,83.281
-8.715,-17.672,83.139
-8.579,-17.431,83.034
-8.008,-16.704,83.044
-7.211,-15.586,83.13
-5.658,-13.792,83.366
-3.661,-11.779,83.416
-1.59,-9.949,83.601
0.369,-8.659,84.191
1.404,-8.536,84.822
2.095,-8.572,85.444
3.065,-8.834,85.782
4.201,-9.359,86.028
4.923,-9.86,85.993
5.335,-10.298,85.905
5.869,-10.642,85.84
6.692,-10.921,85.685
7.476,-11.065,85.492
7.783,-11.214,85.758
7.838,-11.215,86.156
7.834,-11.089,86.695
7.527,-10.981,87.2
7.0,-10.935,87.726
6.157,-10.954,88.136
5.02,-10.883,88.471
3.374,-10.852,88.548
1.475,-10.899,88.491
0.267,-11.042,88.429
-0.331,-11.195,88.347
-0.957,-11.348,88.624
-1.036,-11.362,88.624
-1.458,-11.517,88.757
-0.868,-11.5,88.69
-0.01,-11.379,88.69
0.56,-11.152,88.643
1.669,-10.734,88.725
3.203,-10.277,89.062
4.739,-9.729,89.598
5.876,-8.983,89.871
6.471,-7.643,90.228
6.719,-6.371,90.405
7.04,-5.715,90.443
7.057,-5.039,90.434
6.516,-4.714,90.265
5.359,-4.723,90.202
4.388,-4.915,90.191
3.741,-5.393,90.079
