x,y,z
-4.456,-6.757,93.11
-4.455,-7.153,94.252
-4.656,-7.619,94.69
-5.177,-7.683,94.49
-6.078,-7.382,94.982
-6.783,-7.028,94.135
-7.654,-6.08,93.815
-8.504,-4.749,93.702
-8.814,-3.893,92.912
-9.143,-3.269,91.793
-9.866,-2.107,90.771
-10.435,-1.098,89.738
-11.056,-0.051,88.785
-11.28,0.509,88.03
-11.58,1.271,87.471
-11.921,1.753,87.079
-12.259,2.119,86.782
-12.498,2.222,86.67
-12.38,2.362,86.368
-11.904,2.345,86.131
-11.226,2.021,85.953
-10.63,1.737,86.074
-9.76,1.241,86.155
-9.198,1.038,86.223
-8.272,0.701,86.359
-7.37,0.424,86.656
-6.685,0.179,87.066
-6.196,-0.151,87.447
-5.809,-0.545,87.854
-5.605,-0.888,87.979
-5.474,-1.396,88.188
-5.4,-1.9,88.303
-5.446,-2.385,88.332
-5.63,-2.848,88.064
-5.919,-3.292,88.041
-6.398,-3.653,88.022
-6.93,-3.869,87.943
-7.36,-3.994,88.0
-7.74,-4.184,88.487
-8.236,-4.264,89.022
-8.613,-4.049,89.606
-8.88,-3.547,90.141
-8.935,-3.104,90.516
-8.904,-2.822,90.939
-8.919,-2.519,91.156
-8.735,-2.14,91.154
-8.395,-1.887,91.085
-7.937,-1.781,91.068
-7.502,-1.775,90.976
-7.067,-1.736,90.821
-6.823,-1.602,90.926
-6.477,-1.389,90.922
-6.446,-0.974,91.345
-5.705,-0.468,91.705
-5.548,0.199,91.824
-5.39,0.578,92.052
-5.267,1.317,92.085
-5.254,1.411,91.862
-5.035,2.816,91.748
-4.919,2.961,91.76
-4.91,2.708,91.753
-4.899,2.008,91.545
-4.911,1.487,91.457
-4.929,1.139,91.292
-4.766,0.741,91.251
-4.414,0.219,91.304
-4.395,-0.086,91.289
-4.417,-0.336,91.47
-4.589,-0.58,91.595
-4.858,-0.499,91.592
-5.008,-0.232,91.63
-5.03,-0.049,91.59
-4.879,0.226,91.531
-4.709,0.459,91.503
-4.521,0.625,91.209
-4.203,0.808,90.957
-4.041,0.845,90.85
-4.049,0.951,90.659
-4.238,1.061,90.6
-4.462,0.952,90.527
-4.562,0.652,90.354
-4.464,0.331,90.158
-4.182,0.117,90.121
-3.866,0.071,89.929
-3.499,0.071,89.656
-3.306,0.027,89.541
-2.986,0.167,89.409
-2.996,0.574,89.443
-3.511,0.867,89.625
-3.744,1.185,89.854
-3.864,1.55,90.16
-4.037,2.082,90.41
-4.209,2.54,90.603
-4.596,2.749,90.448
-5.101,2.781,90.337
-5.177,2.727,90.261
-5.957,2.542,90.325
-6.298,1.926,90.336
-6.546,0.921,90.192
-6.594,0.292,89.946
-6.673,-0.638,89.916
-6.795,-1.394,89.94
-6.787,-2.18,89.952
-6.776,-3.223,90.044
-6.613,-3.294,89.75
-6.332,-4.949,89.617
-6.104,-5.48,89.675
-5.759,-5.709,89.672
-5.296,-5.471,89.754
-5.119,-4.964,89.962
-5.086,-4.474,90.334
-5.026,-3.355,90.546
-5.04,-2.596,90.727
-5.11,-1.98,90.606
-5.507,-0.82,90.627
-5.562,-0.039,90.596
-5.674,0.848,90.43
-5.939,1.667,90.281
-6.151,2.246,90.103
-6.281,2.815,90.135
-6.45,3.2,90.046
-6.668,3.617,90.29
-7.028,4.108,90.39
-7.394,4.284,90.384
