x,y,z
-5.208,3.663,92.065
-6.088,3.62,97.873
-7.059,3.578,99.342
-7.766,3.639,97.691
-7.857,3.634,95.924
-8.422,3.631,94.043
-9.206,3.713,91.63
-9.237,3.991,91.17
-8.947,4.22,90.239
-8.865,4.333,89.81
-8.219,4.51,89.583
-8.184,4.864,89.422
-7.382,4.988,89.331
-7.073,5.025,89.454
-7.019,5.052,89.426
-6.467,5.166,89.141
-6.477,5.371,89.467
-6.742,5.572,89.671
-7.152,5.63,89.98
-7.524,5.561,90.47
-7.907,5.482,90.774
-8.216,5.42,90.654
-8.558,5.236,90.85
-8.606,5.031,91.345
-9.221,4.874,91.432
-9.518,4.779,91.505
-9.73,4.734,91.393
-9.851,4.535,91.438
-9.577,4.372,91.972
-9.543,4.372,92.582
-8.698,4.258,92.503
-8.665,4.258,92.503
-8.665,4.283,92.742
-8.018,4.398,92.457
-7.953,4.604,92.19
-7.952,4.634,92.19
-8.031,5.094,91.922
-8.483,5.144,91.801
-8.732,5.086,91.435
-8.919,4.9,91.503
-9.049,4.837,91.803
-8.879,4.992,91.979
-8.66,5.182,91.608
-8.605,5.545,91.318
-8.414,5.418,90.956
-8.645,4.929,90.819
-8.869,4.457,90.469
-9.013,4.095,90.223
-9.227,3.78,89.968
-9.537,3.575,89.579
-9.765,3.567,89.657
-9.97,3.66,89.739
-10.097,4.003,89.58
-9.975,4.19,89.592
-9.714,4.239,89.569
-9.382,4.155,89.786
-9.089,3.879,89.457
-8.917,3.821,89.501
-8.792,4.045,89.536
-8.816,4.424,89.826
-8.914,4.63,89.773
-9.021,4.638,89.713
-9.181,4.584,89.932
-9.047,4.649,89.702
-8.583,4.753,89.752
-8.18,4.707,89.523
-7.723,4.729,89.106
-7.398,4.869,88.966
-6.974,5.084,88.74
-6.517,5.423,88.837
-6.283,5.645,89.021
-6.092,5.92,89.368
-6.153,5.958,89.472
-6.518,5.898,89.293
-6.758,5.751,89.155
-6.964,5.377,89.248
-6.975,4.972,89.416
-6.958,4.551,89.508
-6.909,4.141,89.39
-6.916,3.614,89.246
-7.149,3.289,88.786
-7.487,3.282,88.6
-7.598,3.233,88.67
-7.603,3.21,88.51
-7.676,3.322,88.46
-7.332,3.44,88.689
-7.072,3.519,88.502
-6.79,3.767,88.71
-6.619,4.094,88.7
-6.608,4.474,88.669
-6.779,4.835,89.056
-6.931,4.978,89.44
-6.943,5.15,90.016
-6.999,5.417,90.246
-7.007,5.573,90.202
-7.05,5.46,90.069
-7.067,5.124,90.095
-7.181,4.741,89.972
-7.304,4.253,89.743
-7.447,3.789,89.74
-7.566,3.377,89.578
-7.637,3.042,89.287
-7.845,2.709,89.625
-8.009,2.453,89.826
-8.111,2.289,89.789
-8.069,1.996,89.849
-7.79,1.778,89.868
-7.453,1.798,89.91
-7.224,1.851,90.268
-6.824,1.974,90.285
-6.413,2.076,90.234
-6.18,2.04,90.296
-6.153,1.66,90.344
-6.179,1.199,89.769
-6.212,0.7,89.52
-6.181,0.277,89.29
-6.015,-0.053,89.01
-5.721,-0.299,88.706
-5.452,-0.361,88.614
-5.394,-0.423,88.689
-5.652,-0.557,88.558
-5.811,-0.675,88.657
-6.097,-0.847,88.592
-6.315,-0.889,88.463
-6.489,-0.77,88.604
-6.416,-0.389,88.81
-6.368,-0.015,88.886
-6.321,0.244,88.961
-6.306,0.323,89.073
-5.969,0.572,89.377
-5.698,0.616,89.239
-5.649,0.509,89.093
-6.005,0.212,88.906
-6.39,0.007,88.78
-6.724,-0.134,88.529
-7.105,-0.323,88.108
-7.658,-0.479,88.249
-8.221,-0.743,88.078
-8.735,-1.103,88.074
-9.07,-1.416,88.118
-9.471,-1.883,88.042
-9.82,-2.505,88.326
-9.944,-2.978,88.37
-9.992,-3.527,88.573
-9.988,-3.99,88.568
-9.957,-4.39,88.536
-9.889,-4.747,88.399
-9.771,-5.351,88.098
-9.594,-5.651,88.011
-9.234,-5.754,87.847
-8.787,-5.779,87.589
-8.468,-5.751,87.403
-8.122,-5.702,87.297
-7.918,-5.913,87.027
-7.783,-6.215,86.831
-7.994,-6.318,86.927
-8.331,-6.274,86.806
-8.538,-6.076,86.827
-8.582,-5.722,87.015
-8.592,-5.443,87.284
-8.544,-5.177,87.36
-8.58,-4.78,87.813
-8.646,-4.419,88.288
-8.951,-4.111,88.533
-9.284,-3.718,88.745
-9.528,-3.298,89.267
-9.548,-2.929,89.232
-9.516,-2.585,89.128
-9.594,-2.204,89.176
-9.84,-1.884,89.182
-10.155,-1.647,89.188
-10.507,-1.359,89.246
-10.915,-0.871,89.22
-11.084,-0.425,89.244
-11.221,0.018,89.45
-11.246,0.496,89.607
-11.59,0.973,89.716
-11.86,1.386,90.158
-11.911,1.425,90.158
-12.573,2.099,90.895
-12.952,2.387,91.239
-13.004,2.724,91.225
-13.371,3.27,91.438
-13.931,3.749,91.601
-14.083,4.152,91.296
-14.176,4.411,90.958
-14.172,4.44,91.144
-13.989,4.803,91.32
-13.263,4.788,91.123
-12.809,4.836,91.239
-12.403,4.989,91.085
-11.926,5.167,91.07
-11.418,5.486,90.999
-10.975,5.791,90.94
-10.498,6.125,91.28
-10.163,6.454,91.442
-9.96,6.691,91.438
-9.735,6.948,91.354
-9.591,7.108,91.801
-9.399,7.317,92.141
-9.253,7.289,92.37
-8.864,6.905,92.08
-8.599,6.62,92.058
-8.226,6.635,91.74
-7.901,6.725,91.295
-7.985,6.711,90.845
-8.167,6.892,90.266
-8.224,7.003,89.954
-8.321,7.107,89.942
-8.384,7.196,89.836
-8.274,7.482,89.75
-8.069,7.539,89.551
-7.921,7.381,89.564
-7.732,7.135,89.662
-7.286,7.053,89.638
-7.046,7.521,89.282
-7.07,8.497,89.022
-7.09,8.994,89.276
-7.104,9.236,89.889
-7.306,9.528,89.726
-7.421,9.635,89.449
-7.683,9.527,89.167
-7.574,9.22,88.849
-7.166,8.741,88.282
-6.779,8.366,88.069
-6.509,8.082,88.009
-6.035,7.947,88.134
-5.702,7.664,88.116
-5.412,7.1,88.36
-5.589,6.622,88.166
-5.999,6.353,88.216
-6.192,6.096,88.608
-6.259,5.745,88.868
-6.362,5.129,89.158
-6.457,4.274,89.59
-6.531,3.308,89.771
-6.6,2.443,90.127
-6.573,1.905,90.044
-6.603,1.608,89.998
-6.561,1.528,89.768
-6.606,1.536,89.591
-6.838,1.819,89.475
-7.039,2.117,89.794
-7.144,2.461,89.854
-7.195,2.725,89.757
-7.303,2.934,89.667
-7.515,3.084,89.721
-7.648,3.242,89.626
-7.837,3.501,89.608
-7.809,3.865,89.539
-7.574,4.073,89.492
-7.173,4.073,89.307
-6.903,4.039,89.535
-6.634,4.122,89.86
-6.451,4.171,90.124
-6.434,4.496,90.602
-6.605,4.776,90.775
-6.863,4.772,90.723
-7.089,4.78,90.643
-7.314,4.959,90.559
-7.48,5.221,90.389
-7.587,5.43,90.088
-7.609,5.698,89.475
-7.541,5.911,89.206
-7.474,6.097,89.561
-7.427,6.101,90.26
-7.417,5.942,90.217
-7.374,5.697,89.928
-7.28,5.298,89.752
-7.166,4.904,89.672
-7.002,4.516,89.282
-6.791,4.088,89.381
-6.685,3.711,89.414
-6.669,3.396,89.432
-6.648,3.077,89.903
-6.978,2.717,90.058
-7.231,2.628,89.892
-7.248,2.798,89.694
-7.595,3.041,89.339
-7.573,3.357,88.941
-7.603,3.657,88.971
-7.809,3.766,88.684
